"Western date","DateRaw","Easter","DataSummary","Frequency","Percent","Probability","Years","Occurences"
"April 10, 1583","A10",11,"A1",78,3.098927294398093,0.030989272943980926,5,178
"April 1, 1584","A1",20,"A10",102,4.052443384982122,0.04052443384982122,6,132
"April 21, 1585","A21",21,"A11",90,3.575685339690107,0.03575685339690107,11,1141
"April 6, 1586","A6",22,"A12",76,3.0194676201827573,0.030194676201827572,35,59
"March 29, 1587","M29",23,"A13",68,2.7016289233214144,0.027016289233214145,46,128
"April 17, 1588","A17",24,"A14",84,3.3373063170441,0.033373063170441,51,44
"April 2, 1589","A2",25,"A15",98,3.89352403655145,0.038935240365514504,57,206
"April 22, 1590","A22",26,"A16",96,3.8140643623361146,0.03814064362336114,62,152
"April 14, 1591","A14",27,"A17",81,3.2181168057210967,0.03218116805721097,63,8
"March 29, 1592","M29",28,"A18",79,3.1386571315057608,0.03138657131505761,68,107
"April 18, 1593","A18",29,"A19",89,3.5359555025824396,0.0353595550258244,73,139
"April 10, 1594","A10",12,"A2",68,2.7016289233214144,0.027016289233214145,79,82
"March 26, 1595","M26",30,"A20",92,3.655145013905443,0.036551450139054434,84,38
"April 14, 1596","A14",31,"A21",89,3.5359555025824396,0.0353595550258244,95,8
"April 6, 1597","A6",32,"A22",58,2.304330552244736,0.02304330552244736,119,1
"March 22, 1598","M22",33,"A23",28,1.1124354390147,0.011124354390147,130,7
"April 11, 1599","A11",34,"A24",42,1.66865315852205,0.0166865315852205,141,20
"April 2, 1600","A2",35,"A25",26,1.0329757647993643,0.010329757647993643,147,6
"April 22, 1601","A22",13,"A3",81,3.2181168057210967,0.03218116805721097,152,16
"April 7, 1602","A7",14,"A4",92,3.655145013905443,0.036551450139054434,163,3
"March 30, 1603","M30",15,"A5",99,3.933253873659118,0.03933253873659118,220,1
"April 18, 1604","A18",16,"A6",87,3.4564958283671037,0.03456495828367104,372,2
"April 10, 1605","A10",17,"A7",70,2.7810885975367503,0.027810885975367503,451,2
"March 26, 1606","M26",18,"A8",73,2.900278108859754,0.029002781088597537,467,2
